id,province,newspaper,newspaper_url
0,ADANA,Adana 5 Ocak,https://www.bik.gov.tr/yerel-gazeteler/adana/tumu/adana-5-ocak/
1,ADANA,Adana Güney Haber,https://www.bik.gov.tr/yerel-gazeteler/adana/tumu/adana-guney-haber/
2,ADANA,Crt Haber,https://www.bik.gov.tr/yerel-gazeteler/adana/tumu/crt-haber/
3,ADANA,Çukurova Barış,https://www.bik.gov.tr/yerel-gazeteler/adana/tumu/cukurova-baris/
4,ADANA,Çukurova Metropol,https://www.bik.gov.tr/yerel-gazeteler/adana/tumu/cukurova-metropol/
5,ADANA,Çukurova Press,https://www.bik.gov.tr/yerel-gazeteler/adana/tumu/cukurova-press/
6,ADANA,Gazette,https://www.bik.gov.tr/yerel-gazeteler/adana/tumu/gazette/
7,ADANA,Günaydın Adana,https://www.bik.gov.tr/yerel-gazeteler/adana/tumu/gunaydin-adana/
8,ADANA,İlkhaber,https://www.bik.gov.tr/yerel-gazeteler/adana/tumu/ilkhaber/
9,ADANA,Toros,https://www.bik.gov.tr/yerel-gazeteler/adana/tumu/toros/
10,ADIYAMAN,Alternatif Bakış,https://www.bik.gov.tr/yerel-gazeteler/adiyaman/tumu/alternatif-bakis/
11,ADIYAMAN,Besni Güncel,https://www.bik.gov.tr/yerel-gazeteler/adiyaman/tumu/besni-guncel/
12,ADIYAMAN,Gerçek,https://www.bik.gov.tr/yerel-gazeteler/adiyaman/tumu/gercek/
13,ADIYAMAN,Güne Bakış,https://www.bik.gov.tr/yerel-gazeteler/adiyaman/tumu/gune-bakis/
14,ADIYAMAN,Işık,https://www.bik.gov.tr/yerel-gazeteler/adiyaman/tumu/isik/
15,ADIYAMAN,Türk-ay,https://www.bik.gov.tr/yerel-gazeteler/adiyaman/tumu/turk-ay/
16,ADIYAMAN,Yeniyol,https://www.bik.gov.tr/yerel-gazeteler/adiyaman/tumu/yeniyol/
17,AFYONKARAHİSAR,Ana Haber,https://www.bik.gov.tr/yerel-gazeteler/afyonkarahisar/tumu/ana-haber/
18,AFYONKARAHİSAR,Gazete 3,https://www.bik.gov.tr/yerel-gazeteler/afyonkarahisar/tumu/gazete-3/
19,AFYONKARAHİSAR,Kocatepe,https://www.bik.gov.tr/yerel-gazeteler/afyonkarahisar/tumu/kocatepe/
20,AĞRI,Ağrı Memleket,https://www.bik.gov.tr/yerel-gazeteler/agri/tumu/agri-memleket/
21,AĞRI,Hakimiyet,https://www.bik.gov.tr/yerel-gazeteler/agri/tumu/hakimiyet/
22,AĞRI,Halkın Sesi,https://www.bik.gov.tr/yerel-gazeteler/agri/tumu/halkin-sesi/
23,AĞRI,Patnos Haber,https://www.bik.gov.tr/yerel-gazeteler/agri/tumu/patnos-haber/
24,AKSARAY,68 Haber,https://www.bik.gov.tr/yerel-gazeteler/aksaray/tumu/68-haber/
25,AKSARAY,Aksaray Egemen,https://www.bik.gov.tr/yerel-gazeteler/aksaray/tumu/aksaray-egemen/
26,AKSARAY,Aksaray Güncel,https://www.bik.gov.tr/yerel-gazeteler/aksaray/tumu/aksaray-guncel/
27,AKSARAY,Eskil,https://www.bik.gov.tr/yerel-gazeteler/aksaray/tumu/eskil/
28,AKSARAY,Yeni Aksaray,https://www.bik.gov.tr/yerel-gazeteler/aksaray/tumu/yeni-aksaray/
29,AKSARAY,Yenigün,https://www.bik.gov.tr/yerel-gazeteler/aksaray/tumu/yenigun/
30,AMASYA,Günebakış,https://www.bik.gov.tr/yerel-gazeteler/amasya/tumu/gunebakis/
31,AMASYA,Halk İçin Bilgi,https://www.bik.gov.tr/yerel-gazeteler/amasya/tumu/halk-icin-bilgi/
32,AMASYA,Hedef Amasya,https://www.bik.gov.tr/yerel-gazeteler/amasya/tumu/hedef-amasya/
33,AMASYA,Objektif,https://www.bik.gov.tr/yerel-gazeteler/amasya/tumu/objektif/
34,AMASYA,Olay,https://www.bik.gov.tr/yerel-gazeteler/amasya/tumu/olay/
35,AMASYA,Pusula,https://www.bik.gov.tr/yerel-gazeteler/amasya/tumu/pusula/
36,AMASYA,Yeni Emel,https://www.bik.gov.tr/yerel-gazeteler/amasya/tumu/yeni-emel/
37,AMASYA,Yeşilırmak,https://www.bik.gov.tr/yerel-gazeteler/amasya/tumu/yesilirmak/
38,ANKARA,Başkent,https://www.bik.gov.tr/yerel-gazeteler/ankara/tumu/baskent/
